Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free,Ego_X,Ego_Y
111,5.55,94.82,95.00,-0.0176,0.44,0.00,KEEP_LANE,-4,999.00,True,False,-496.04,324.47
112,5.60,93.71,95.00,-0.0179,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-495.47,325.65
113,5.65,92.63,95.00,-0.0179,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-494.91,326.81
114,5.70,91.77,95.00,-0.0177,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-494.34,327.96
115,5.75,91.30,95.00,-0.0140,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-493.77,329.09
116,5.80,91.22,95.00,-0.0159,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-493.19,330.22
117,5.85,91.42,95.00,-0.0164,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-492.61,331.35
118,5.90,91.83,95.00,-0.0168,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-492.01,332.47
119,5.95,92.39,95.00,-0.0171,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-491.40,333.60
120,6.00,93.06,95.00,-0.0139,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-490.78,334.73
121,6.05,93.83,95.00,-0.0161,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-490.15,335.86
122,6.10,94.65,95.00,-0.0168,0.56,0.00,KEEP_LANE,-4,999.00,True,False,-489.51,337.00
123,6.15,95.46,95.00,-0.0174,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-488.85,338.15
124,6.20,95.96,95.00,-0.0179,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-488.18,339.30
125,6.25,95.87,95.00,-0.0149,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-487.50,340.45
126,6.30,95.29,95.00,-0.0172,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-486.82,341.58
127,6.35,94.38,95.00,-0.0179,0.92,0.00,KEEP_LANE,-4,999.00,True,False,-486.13,342.71
128,6.40,93.27,95.00,-0.0181,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-485.45,343.82
129,6.45,92.19,95.00,-0.0180,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-484.77,344.91
130,6.50,91.34,95.00,-0.0144,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-484.08,345.98
131,6.55,90.88,95.00,-0.0162,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-483.40,347.04
132,6.60,90.80,95.00,-0.0166,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-482.71,348.10
133,6.65,91.01,95.00,-0.0170,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-482.01,349.15
134,6.70,91.42,95.00,-0.0172,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-481.30,350.20
135,6.75,91.99,95.00,-0.0141,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-480.58,351.25
136,6.80,92.67,95.00,-0.0160,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-479.85,352.30
