Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free,Ego_X,Ego_Y
111,5.55,93.09,95.00,0.0062,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-490.30,322.67
112,5.60,91.98,95.00,0.0123,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-489.61,323.76
113,5.65,91.10,95.00,0.0148,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-488.92,324.82
114,5.70,90.61,95.00,0.0181,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-488.22,325.87
115,5.75,90.52,95.00,0.0174,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-487.52,326.91
116,5.80,90.72,95.00,0.0132,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-486.80,327.95
117,5.85,91.14,95.00,0.0073,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-486.08,328.99
118,5.90,91.72,95.00,0.0004,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-485.36,330.03
119,5.95,92.41,95.00,-0.0058,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-484.62,331.08
120,6.00,93.19,95.00,-0.0123,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-483.88,332.13
121,6.05,94.02,95.00,-0.0185,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-483.13,333.20
122,6.10,94.91,95.00,-0.0232,0.30,0.00,KEEP_LANE,-2,999.00,True,True,-482.37,334.27
123,6.15,95.76,95.00,-0.0261,0.00,0.00,KEEP_LANE,-2,999.00,True,True,-481.60,335.35
124,6.20,96.27,95.00,-0.0251,0.00,0.00,KEEP_LANE,-2,999.00,True,True,-480.82,336.43
125,6.25,96.16,95.00,-0.0239,0.00,0.00,KEEP_LANE,-2,999.00,True,True,-480.04,337.52
126,6.30,95.56,95.00,-0.0203,0.00,0.00,KEEP_LANE,-2,999.00,True,True,-479.25,338.59
127,6.35,94.63,95.00,-0.0160,0.66,0.00,KEEP_LANE,-2,999.00,True,True,-478.47,339.65
128,6.40,93.52,95.00,-0.0116,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-477.69,340.70
129,6.45,92.43,95.00,-0.0063,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-476.91,341.73
130,6.50,91.58,95.00,-0.0048,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-476.14,342.74
131,6.55,91.12,95.00,-0.0044,1.00,0.00,KEEP_LANE,-2,999.00,True,True,-475.37,343.75
132,6.60,91.04,95.00,-0.1408,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-474.59,344.74
133,6.65,91.14,95.00,-0.0781,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-473.80,345.73
134,6.70,91.50,95.00,-0.0627,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-473.00,346.71
135,6.75,92.03,95.00,-0.0485,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-472.18,347.69
136,6.80,92.67,95.00,-0.0347,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-471.34,348.67
137,6.85,93.40,95.00,-0.0227,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-470.49,349.64
138,6.90,94.20,95.00,-0.0134,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-469.62,350.61
139,6.95,95.05,95.00,-0.0059,0.00,0.00,KEEP_LANE,-1,999.00,False,True,-468.72,351.57
140,7.00,95.88,95.00,-0.0023,0.00,0.00,KEEP_LANE,-1,999.00,False,True,-467.81,352.54
141,7.05,96.36,95.00,0.0000,0.00,0.00,KEEP_LANE,-1,999.00,False,True,-466.88,353.50
142,7.10,96.26,95.00,0.0056,0.00,0.00,KEEP_LANE,-1,999.00,False,True,-465.94,354.45
143,7.15,95.66,95.00,0.0100,0.00,0.00,KEEP_LANE,-1,999.00,False,True,-465.00,355.39
144,7.20,94.74,95.00,0.0131,0.49,0.00,KEEP_LANE,-1,999.00,False,True,-464.06,356.32
145,7.25,93.60,95.00,0.0135,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-463.12,357.23
146,7.30,92.33,95.00,0.0121,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-462.19,358.12
147,7.35,91.14,95.00,0.0086,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-461.27,359.00
148,7.40,90.21,95.00,0.0045,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-460.36,359.87
149,7.45,89.70,95.00,-0.0020,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-459.45,360.73
150,7.50,89.59,95.00,-0.0083,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-458.55,361.58
151,7.55,89.78,95.00,-0.0139,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-457.64,362.44
152,7.60,90.19,95.00,-0.0185,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-456.73,363.29
153,7.65,90.76,95.00,-0.0210,1.00,0.00,KEEP_LANE,-1,999.00,False,True,-455.81,364.15
