Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free
135,6.75,5.42,5.00,-0.0000,0.00,0.00,KEEP_LANE,-1,69.14,False,False
136,6.80,5.31,5.00,0.0002,0.00,0.00,KEEP_LANE,-1,69.07,False,False
137,6.85,5.20,5.00,-0.0000,0.00,0.00,KEEP_LANE,-1,68.99,False,False
138,6.90,5.09,5.00,0.0002,0.00,0.00,KEEP_LANE,-1,68.92,False,False
139,6.95,4.99,5.00,-0.0000,0.00,0.00,KEEP_LANE,-1,68.85,False,False
140,7.00,4.89,5.00,0.0002,0.00,0.00,KEEP_LANE,-1,68.78,False,False
141,7.05,4.79,5.00,-0.0001,0.09,0.00,KEEP_LANE,-1,68.72,False,False
142,7.10,4.52,5.00,0.0005,0.42,0.00,KEEP_LANE,-1,68.65,False,False
143,7.15,4.38,5.00,-0.0001,0.62,0.00,KEEP_LANE,-1,68.59,False,False
144,7.20,4.50,5.00,0.0004,0.54,0.00,KEEP_LANE,-1,68.53,False,False
145,7.25,4.81,5.00,0.0002,0.25,0.00,KEEP_LANE,-1,68.47,False,False
146,7.30,5.04,5.00,0.0009,0.00,0.00,KEEP_LANE,-1,68.40,False,False
147,7.35,5.51,5.00,0.0009,0.00,0.00,KEEP_LANE,-1,68.32,False,False
148,7.40,5.70,5.00,0.0010,0.00,0.00,KEEP_LANE,-1,68.24,False,False
149,7.45,5.80,5.00,0.0009,0.00,0.00,KEEP_LANE,-1,68.16,False,False
150,7.50,5.77,5.00,0.0012,0.00,0.00,KEEP_LANE,-1,68.08,False,False
151,7.55,5.72,5.00,0.0009,0.00,0.00,KEEP_LANE,-1,68.00,False,False
152,7.60,5.63,5.00,0.0012,0.00,0.00,KEEP_LANE,-1,67.93,False,False
153,7.65,5.53,5.00,0.0009,0.00,0.00,KEEP_LANE,-1,67.85,False,False
154,7.70,5.43,5.00,0.0012,0.00,0.00,KEEP_LANE,-1,67.77,False,False
155,7.75,5.32,5.00,0.0009,0.00,0.00,KEEP_LANE,-1,67.70,False,False
156,7.80,5.22,5.00,0.0011,0.00,0.00,KEEP_LANE,-1,67.63,False,False
157,7.85,5.11,5.00,0.0008,0.00,0.00,KEEP_LANE,-1,67.55,False,False
158,7.90,5.01,5.00,0.0011,0.00,0.00,KEEP_LANE,-1,67.48,False,False
159,7.95,4.90,5.00,0.0007,0.00,0.00,KEEP_LANE,-1,67.41,False,False
160,8.00,4.80,5.00,0.0010,0.07,0.00,KEEP_LANE,-1,67.35,False,False
161,8.05,4.53,5.00,0.0004,0.41,0.00,KEEP_LANE,-1,67.28,False,False
162,8.10,4.38,5.00,0.0009,0.61,0.00,KEEP_LANE,-1,67.22,False,False
163,8.15,4.48,5.00,0.0005,0.56,0.00,KEEP_LANE,-1,67.16,False,False
164,8.20,4.79,5.00,0.0006,0.27,0.00,KEEP_LANE,-1,67.10,False,False
165,8.25,5.01,5.00,-0.0001,0.00,0.00,KEEP_LANE,-1,67.03,False,False
166,8.30,5.50,5.00,-0.0001,0.00,0.00,KEEP_LANE,-1,66.95,False,False
167,8.35,5.70,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,66.88,False,False
168,8.40,5.80,5.00,-0.0002,0.00,0.00,KEEP_LANE,-1,66.80,False,False
169,8.45,5.78,5.00,-0.0005,0.00,0.00,KEEP_LANE,-1,66.71,False,False
170,8.50,5.72,5.00,-0.0002,0.00,0.00,KEEP_LANE,-1,66.63,False,False
171,8.55,5.64,5.00,-0.0005,0.00,0.00,KEEP_LANE,-1,66.56,False,False
172,8.60,5.54,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,66.48,False,False
173,8.65,5.44,5.00,-0.0006,0.00,0.00,KEEP_LANE,-1,66.40,False,False
174,8.70,5.33,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,66.33,False,False
175,8.75,5.22,5.00,-0.0006,0.00,0.00,KEEP_LANE,-1,66.25,False,False
176,8.80,5.12,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,66.18,False,False
177,8.85,5.01,5.00,-0.0006,0.00,0.00,KEEP_LANE,-1,66.11,False,False
178,8.90,4.91,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,66.04,False,False
179,8.95,4.81,5.00,-0.0006,0.06,0.00,KEEP_LANE,-1,65.98,False,False
180,9.00,4.54,5.00,0.0000,0.40,0.00,KEEP_LANE,-1,65.91,False,False
181,9.05,4.38,5.00,-0.0005,0.61,0.00,KEEP_LANE,-1,65.85,False,False
182,9.10,4.47,5.00,-0.0001,0.57,0.00,KEEP_LANE,-1,65.79,False,False
183,9.15,4.77,5.00,-0.0003,0.28,0.00,KEEP_LANE,-1,65.73,False,False
184,9.20,5.00,5.00,0.0004,0.08,0.00,KEEP_LANE,-1,65.66,False,False
185,9.25,5.39,5.00,0.0004,0.00,0.00,KEEP_LANE,-1,65.58,False,False
186,9.30,5.67,5.00,0.0008,0.00,0.00,KEEP_LANE,-1,65.51,False,False
187,9.35,5.81,5.00,0.0007,0.00,0.00,KEEP_LANE,-1,65.43,False,False
188,9.40,5.80,5.00,0.0010,0.00,0.00,KEEP_LANE,-1,65.35,False,False
189,9.45,5.76,5.00,0.0007,0.00,0.00,KEEP_LANE,-1,65.27,False,False
190,9.50,5.68,5.00,0.0010,0.00,0.00,KEEP_LANE,-1,65.19,False,False
191,9.55,5.59,5.00,0.0007,0.00,0.00,KEEP_LANE,-1,65.11,False,False
192,9.60,5.49,5.00,0.0010,0.00,0.00,KEEP_LANE,-1,65.03,False,False
193,9.65,5.38,5.00,0.0007,0.00,0.00,KEEP_LANE,-1,64.96,False,False
194,9.70,5.27,5.00,0.0010,0.00,0.00,KEEP_LANE,-1,64.88,False,False
195,9.75,5.17,5.00,0.0007,0.00,0.00,KEEP_LANE,-1,64.81,False,False
196,9.80,5.06,5.00,0.0010,0.00,0.00,KEEP_LANE,-1,64.74,False,False
197,9.85,4.96,5.00,0.0007,0.00,0.00,KEEP_LANE,-1,64.67,False,False
198,9.90,4.86,5.00,0.0009,0.00,0.00,KEEP_LANE,-1,64.60,False,False
199,9.95,4.76,5.00,0.0006,0.14,0.00,KEEP_LANE,-1,64.54,False,False
200,10.00,4.50,5.00,0.0011,0.47,0.00,KEEP_LANE,-1,64.47,False,False
201,10.05,4.38,5.00,0.0005,0.63,0.00,KEEP_LANE,-1,64.41,False,False
202,10.10,4.59,5.00,0.0008,0.45,0.00,KEEP_LANE,-1,64.35,False,False
203,10.15,4.77,5.00,0.0004,0.30,0.00,KEEP_LANE,-1,64.28,False,False
204,10.20,5.17,5.00,0.0002,0.00,0.00,KEEP_LANE,-1,64.21,False,False
205,10.25,5.48,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,64.14,False,False
206,10.30,5.76,5.00,-0.0001,0.00,0.00,KEEP_LANE,-1,64.06,False,False
207,10.35,5.81,5.00,-0.0005,0.00,0.00,KEEP_LANE,-1,63.98,False,False
208,10.40,5.82,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,63.90,False,False
209,10.45,5.77,5.00,-0.0006,0.00,0.00,KEEP_LANE,-1,63.82,False,False
210,10.50,5.68,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,63.74,False,False
211,10.55,5.59,5.00,-0.0006,0.00,0.00,KEEP_LANE,-1,63.66,False,False
212,10.60,5.48,5.00,-0.0004,0.00,0.00,KEEP_LANE,-1,63.58,False,False
213,10.65,5.37,5.00,-0.0007,0.00,0.00,KEEP_LANE,-1,63.51,False,False
214,10.70,5.27,5.00,-0.0004,0.00,0.00,KEEP_LANE,-1,63.44,False,False
215,10.75,5.16,5.00,-0.0007,0.00,0.00,KEEP_LANE,-1,63.36,False,False
216,10.80,5.05,5.00,-0.0004,0.00,0.00,KEEP_LANE,-1,63.29,False,False
217,10.85,4.95,5.00,-0.0006,0.00,0.00,KEEP_LANE,-1,63.22,False,False
218,10.90,4.85,5.00,-0.0003,0.00,0.00,KEEP_LANE,-1,63.16,False,False
219,10.95,4.75,5.00,-0.0006,0.15,0.00,KEEP_LANE,-1,63.09,False,False
220,11.00,4.49,5.00,-0.0000,0.47,0.00,KEEP_LANE,-1,63.03,False,False
221,11.05,4.38,5.00,-0.0006,0.63,0.00,KEEP_LANE,-1,62.96,False,False
222,11.10,4.60,5.00,-0.0002,0.45,0.00,KEEP_LANE,-1,62.90,False,False
223,11.15,4.78,5.00,-0.0006,0.29,0.00,KEEP_LANE,-1,62.84,False,False
224,11.20,5.18,5.00,-0.0007,0.00,0.00,KEEP_LANE,-1,62.77,False,False
225,11.25,5.35,5.00,-0.0013,0.00,0.00,KEEP_LANE,-1,62.69,False,False
226,11.30,5.81,5.00,-0.0013,0.00,0.00,KEEP_LANE,-1,62.61,False,False
227,11.35,5.99,5.00,-0.0016,0.00,0.00,KEEP_LANE,-1,62.53,False,False
228,11.40,6.07,5.00,-0.0014,0.00,0.00,KEEP_LANE,-1,62.45,False,False
229,11.45,6.04,5.00,-0.0016,0.00,0.00,KEEP_LANE,-1,62.36,False,False
230,11.50,5.98,5.00,-0.0013,0.00,0.00,KEEP_LANE,-1,62.28,False,False
231,11.55,5.89,5.00,-0.0016,0.00,0.00,KEEP_LANE,-1,62.20,False,False
232,11.60,5.78,5.00,-0.0013,0.00,0.00,KEEP_LANE,-1,62.12,False,False
233,11.65,5.67,5.00,-0.0016,0.00,0.00,KEEP_LANE,-1,62.04,False,False
